model,top1,top1_err,top5,top5_err,param_count,flops,img_size,cropt_pct,augment,GPU,Memory,batch_size,amp,epoch_time,lr_scheduler
regnety_4.0gf,78.43,21.57,94.17,5.83,20.6,4,224,0.875,none,2*p40,22.6,768,enable,5000,cosine
regnety_3.2gf,78.41,21.59,93.98,6.02,19.4,3.2,224,0.875,none,2*p40,22.6,768,enable,5100,cosine
seresnet50_b,77.58,22.42,93.72,6.28,28.1,4.1,224,0.875,none,p40,22.6,768,enable,4800,cosine
regnety_1.6gf,77.41,22.59,93.64,6.36,11.2,1.6,224,0.875,none,2*p40,22.6,768,enable,3500,cosine
resnet50_d,77.22,22.78,93.58,6.42,25,4.3,224,0.875,none,2*p40,21.6,768,enable,4100,cosine
resnet50_b,76.71,23.29,93.36,6.64,25,4.1,224,0.875,none,2*p40,21.6,768,enable,3800,cosine
resnet50_b,76.58,23.42,93.13,6.87,25,4.1,224,0.875,standard,2*p40,21.6,768,enable,3800,exp
resnet50_b,76.51,23.49,92.97,7.03,25,4.1,224,0.875,standard,p40,21.6,384,enable,7200,exp
efficientnet_b0,76.5,23.5,93.02,6.98,5.3,0.39,224,0.875,none,p100,15,256,enable,4000,exp
resnet50_b,76.14,23.86,93.02,6.98,25,4.1,224,0.875,none,2*p40,21.6,768,enable,3800,exp
regnety_800mf,76.01,23.99,92.89,7.11,6.3,0.8,224,0.875,none,p40,22.6,768,enable,4100,cosine
regnety_600mf,75.15,24.85,92.31,7.69,6.1,0.6,224,0.875,none,p40,22.6,1024,enable,3800,cosine
regnety_400mf,73.93,26.07,91.71,8.29,4.3,0.4,224,0.875,none,p40,21.8,1024,enable,3400,cosine
regnety_200mf,70.55,29.45,89.73,10.27,3.2,0.2,224,0.875,none,p40,16.7,1024,enable,2800,cosine
